segclass,funclass,x,y
Z,7,6289738.014,1948301.521
Z,7,6290183.91,1948238.648
W,W,6339766.893,1887778.289
5,L,6298060.151,1883081.338
5,L,6298132.745,1877704.225
5,L,6377223.005,2057863.974
5,L,6376642.999,2057902.947
5,L,6376633.0,2057228.979
5,L,6376926.507,2057179.982
5,L,6377214.499,2057188.968
5,L,6266514.394,1851087.426
5,L,6272091.501,1851791.45
5,L,6272230.058,1851729.275
Z,7,6321246.451,1884867.497
Z,U,6519849.98,2062252.0
4,5,6357070.91,1899275.404
M,M,6269778.656,1839685.019
M,M,6269657.049,1851494.36
M,M,6269113.216,1839923.679
M,M,6270020.938,1839670.973
M,M,6270164.864,1839663.482
M,M,6268858.686,1839703.239
M,M,6270543.502,1839913.079
M,M,6270406.839,1839651.483
M,M,6271629.835,1839852.123
M,M,6269755.742,1839619.016
M,M,6269532.514,1839635.659
M,M,6269143.804,1839558.159
Z,7,6321101.144,1884417.156
M,M,6269019.672,1851294.721
M,M,6268985.462,1851063.715
M,M,6268764.376,1851238.956
M,M,6268685.077,1850651.49
M,M,6268725.395,1850952.515
M,M,6268473.028,1850897.21
M,M,6268452.557,1850744.416
M,M,6268314.454,1850843.33
M,M,6268409.019,1850423.64
M,M,6268815.467,1849791.751
M,M,6268891.527,1850362.707
M,M,6265670.648,1840201.775
M,M,6268615.085,1850134.553
M,M,6268337.558,1849893.434
M,M,6267982.032,1850215.699
M,M,6267692.749,1849937.815
M,M,6267689.653,1851117.316
M,M,6267796.436,1850682.452
M,M,6267188.674,1851200.801
5,L,6271449.295,1851809.31
5,L,6271434.974,1851795.602
5,L,6271624.992,1851827.733
M,M,6271036.32,1851466.518
M,M,6271638.596,1851385.055
M,M,6271871.34,1851337.916
Z,7,6305233.395,1989797.187
5,L,6273947.172,1850642.47
M,M,6272465.721,1850833.246
M,M,6269480.48,1851664.503
M,M,6269759.397,1851630.013
M,M,6253476.956,1834080.059
M,M,6254825.0,1836070.0
M,M,6255044.0,1836068.0
M,M,6254593.007,1836068.993
M,M,6254825.5,1835931.998
M,M,6269411.839,1839545.92
M,M,6268213.775,1836095.139
M,M,6255439.064,1835430.29
5,L,6242113.668,1961992.517
M,M,6255044.0,1835930.0
M,M,6254826.496,1835804.998
M,M,6255044.0,1835773.0
M,M,6254899.997,1835686.997
Z,U,6282077.249,1970957.64
M,M,6252880.902,1836047.102
M,M,6252728.937,1835607.291
P,P,6311262.909,1779137.014
P,P,6312014.024,1778518.0
M,M,6271443.536,1850021.31
M,M,6271927.012,1849959.079
5,L,6264471.0,2026500.0
Z,7,6341566.725,1888617.551
Z,7,6340839.717,1888591.562
Z,7,6341321.393,1887960.442
Z,7,6341643.091,1888257.624
M,M,6271532.513,1850726.092
M,M,6271677.584,1850580.555
M,M,6271494.555,1850440.417
M,M,6272989.836,1850372.648
5,L,6272886.437,1851340.257
Z,7,6290171.963,1948729.242
Z,7,6290117.522,1948561.748
Z,7,6321388.184,1884986.136
Z,7,6320948.234,1884541.1
Z,7,6321253.618,1884585.686
Z,7,6321548.572,1885085.881
Z,7,6321764.044,1884973.371
Z,7,6283818.976,2074714.17
4,5,6283296.69,2079282.704
5,L,6321678.381,1885570.35
5,L,6321697.608,1885570.301
5,L,6323331.865,1804437.366
5,L,6295232.045,1893549.794
Z,7,6341581.453,1815224.057
M,M,6295513.664,1904363.151
M,M,6292555.57,1900574.021
M,M,6293801.82,1900525.603
M,M,6295505.975,1903287.909
M,M,6295199.948,1904854.485
M,M,6294234.806,1905225.785
M,M,6293791.183,1905306.983
M,M,6293873.227,1905411.728
5,L,6266643.724,1896098.049
M,M,6285736.0,1844785.0
Z,7,6342128.574,1883770.167
Z,7,6341716.305,1883738.453
M,M,6285571.001,1844342.498
M,M,6285137.88,1901566.65
M,M,6283796.076,1901301.015
M,M,6293710.592,1902455.472
M,M,6293208.556,1902758.705
M,M,6295050.707,1902701.146
M,M,6294117.311,1902434.623
M,M,6293839.862,1902514.989
M,M,6289398.554,1903268.624
M,M,6254529.221,1836686.518
M,M,6289853.66,1903280.542
M,M,6290571.159,1903286.448
M,M,6288797.068,1899768.12
M,M,6288429.725,1902218.645
M,M,6288340.497,1899790.091
M,M,6288616.407,1899727.796
M,M,6288990.475,1899811.757
M,M,6254455.057,1836618.987
M,M,6254597.497,1836486.998
M,M,6254451.177,1836437.473
M,M,6288378.987,1899500.434
M,M,6288380.028,1899208.996
M,M,6288438.446,1899224.587
M,M,6288363.021,1899164.162
M,M,6294644.863,1905312.521
M,M,6294861.6,1905091.693
Z,7,6254621.593,1938559.041
M,M,6293690.389,1904932.281
M,M,6294037.621,1905502.761
2,6,6380775.439,2052808.551
2,6,6381229.422,2052518.3
5,9,6501889.553,1863031.061
M,M,6294198.283,1905573.871
M,M,6293709.396,1905665.19
M,M,6294657.812,1905137.225
M,M,6293937.062,1904730.3
M,M,6294312.361,1904940.411
M,M,6295286.921,1903817.147
M,M,6294646.921,1903828.693
M,M,6293942.974,1903840.123
M,M,6290456.966,1904399.904
P,P,6359679.181,1899548.054
M,M,6287403.323,1899744.864
5,9,6499451.69,1903883.446
6,U,6506699.018,1884090.741
M,M,6288422.153,1899179.133
M,M,6289539.5,1899947.443
M,M,6288999.448,1900643.904
6,U,6502552.359,1867483.131
M,M,6295452.05,1891524.147
M,M,6263104.404,1838213.029
M,M,6262086.069,1836596.647
5,L,6321615.21,1885376.22
Z,7,6321828.403,1884513.334
5,L,6299053.0,1790596.999
Z,U,6508568.189,1895577.058
6,U,6501552.108,1864157.509
5,L,6252468.768,1938404.954
Z,7,6254381.312,1938563.378
7,9,6499408.973,1848297.384
5,L,6501122.347,1862614.918
5,9,6500554.583,1862549.689
Z,7,6321598.371,1884441.864
Z,7,6321853.152,1885164.107
M,M,6270948.074,1851691.062
5,L,6271594.228,1851823.419
P,P,6244719.98,1955113.969
M,M,6271345.493,1849250.452
M,M,6270054.978,1849205.163
M,M,6261421.738,1832392.982
M,M,6288647.859,1894219.996
M,M,6293563.936,1894147.313
M,M,6295118.52,1894304.96
M,M,6292502.0,1894087.0
5,L,6295173.594,1894033.698
M,M,6295347.714,1893983.018
6,U,6292008.461,1893685.365
5,L,6290709.379,1892714.681
Z,9,6374100.363,2058127.471
5,L,6347141.187,1891508.514
P,P,6297428.996,1843474.5
6,U,6289284.335,1890798.986
5,U,6368723.009,1990352.198
P,P,6297385.5,1842844.012
5,L,6297476.012,1842747.5
P,P,6297968.5,1842832.001
P,P,6297768.016,1842743.5
P,P,6297968.0,1842727.0
P,P,6297383.5,1842710.003
P,P,6297767.383,1842648.625
M,M,6254597.0,1836625.0
P,P,6297474.299,1842554.593
P,P,6297382.497,1842598.002
Z,7,6343289.872,1886070.978
P,P,6297527.001,1843710.497
M,M,6261519.509,1832091.977
M,M,6265485.473,1832477.368
M,M,6266054.842,1832358.256
M,M,6289783.649,1901820.747
M,M,6291204.196,1901871.678
5,L,6244533.721,1955261.011
5,L,6272553.714,1851525.88
M,M,6272134.572,1851122.243
M,M,6292957.631,1901846.412
5,L,6295429.788,1893484.676
M,M,6268270.934,1851471.484
M,M,6268504.029,1851127.71
M,M,6268163.046,1851025.904
W,W,6352272.672,1894297.015
P,P,6293939.411,1843828.99
5,L,6352100.403,1892932.679
M,M,6267499.181,1850322.421
M,M,6267123.949,1850756.161
M,M,6292962.5,1902189.994
3,4,6352305.277,1892553.413
5,L,6343250.324,1815648.858
M,M,6292965.0,1902431.993
M,M,6293085.303,1902968.606
M,M,6293364.724,1903370.44
M,M,6293203.412,1903648.79
M,M,6293068.992,1903854.567
M,M,6293192.726,1904111.705
M,M,6293062.994,1904372.731
M,M,6292692.749,1904965.741
M,M,6292651.998,1904375.593
P,P,6308342.508,1834036.777
6,U,6385756.259,2075760.87
5,L,6352169.029,1892805.947
3,4,6352190.458,1892766.577
3,4,6352221.778,1892708.415
W,W,6352685.346,1893925.12
5,L,6321305.07,1885935.762
P,P,6313247.039,1778518.0
5,L,6378580.195,1970394.33
M,M,6286149.888,1894264.261
M,M,6289842.973,1904409.493
6,U,6501770.812,1873397.853
M,M,6287091.327,1901951.429
5,L,6306781.666,1832993.744
2,6,6223267.718,2006440.294
Z,7,6300693.546,1830692.228
Z,7,6300776.944,1830663.773
5,9,6503065.141,1903379.616
6,U,6502641.848,1902969.355
5,9,6500493.998,1903730.96
5,L,6273226.225,1851151.875
5,L,6273563.052,1850976.334
5,L,6273873.828,1850804.404
3,4,6352422.549,1892332.565
5,9,6371602.282,2075346.1
P,P,6309598.994,1861817.907
P,P,6300846.511,1896338.927
5,L,6378185.377,1969711.66
M,M,6268479.147,1839844.854
M,M,6267977.273,1839202.339
M,M,6268129.003,1839076.552
M,M,6289851.991,1905075.0
M,M,6290539.979,1905067.494
M,M,6291218.335,1904916.99
M,M,6291717.001,1904911.03
M,M,6291218.5,1904703.982
M,M,6290190.978,1904403.661
M,M,6291214.509,1904515.975
M,M,6290956.976,1904393.5
6,U,6502904.379,1870782.858
M,M,6270190.057,1839333.469
Z,7,6310732.108,1861981.561
M,A,6291714.0,1904574.0
M,M,6291995.964,1904382.501
M,M,6291211.504,1904329.998
M,M,6291727.413,1905498.981
M,M,6291210.0,1904070.997
M,M,6291713.499,1904125.0
M,M,6292123.987,1905056.834
M,M,6291224.977,1905490.661
5,L,6255177.83,1939739.794
5,L,6294647.416,1842927.512
M,M,6261403.999,1831781.498
M,M,6261514.5,1831629.007
M,M,6261512.272,1831373.003
M,M,6265699.066,1832216.213
M,M,6262877.773,1831797.512
Z,7,6341856.367,1887655.563
Z,L,6341066.142,1887854.317
Z,7,6341085.041,1888019.404
Z,7,6341094.589,1888337.029
Z,7,6340916.895,1888167.548
5,L,6298727.452,1790600.005
Z,7,6341016.574,1884891.201
Z,7,6341831.649,1884407.86
M,M,6255040.639,1836619.997
M,M,6255042.001,1836481.971
M,M,6254820.001,1836481.971
M,M,6254822.993,1836342.993
